Species,Hibernation,eat_winter,Body_length
Ammospermophilus_harrisii,0,,160.1
Callospermophilus_lateralis,8,yes,214.7
Callospermophilus_madrensis,,,172.5
Callospermophilus_saturatus,7,no,192.7
Cynomys_gunnisoni,,,279.6
Cynomys_leucurus,8,no,307.5
Cynomys_ludovicianus,0,,294.5
Cynomys_mexicanus,0,,342.3
Cynomys_parvidens,8,yes,288.7
Ictidomys_mexicanus,,,193.7
Ictidomys_tridecemlineatus,6,yes,137.5
Marmota_baibacina,7,no,523.6
Marmota_bobak,8,no,502.2
Marmota_broweri,7.5,no,488.1
Marmota_caligata,7.5,no,489.2
Marmota_camtschatica,8,no,523.9
Marmota_caudata,8,no,471
Marmota_flaviventris,7.5,no,412.6
Marmota_himalayana,7.5,no,579.1
Marmota_marmota,6.5,no,448.9
Marmota_menzbieri,8,no,450
Marmota_monax,4.5,no,415.1
Marmota_olympus,7.5,no,508
Marmota_sibirica,7,no,401.7
Marmota_vancouverensis,7,no,467.7
Notocitellus_adocetus,0,,178.5
Notocitellus_annulatus,0,,221.4
Otospermophilus_atricapillus,0,,246.1
Otospermophilus_beecheyi,1,,263.8
Otospermophilus_variegatus,1,,273.5
Poliocitellus_franklinii,9,,246
Spermophilus_alashanicus,,,222.7
Spermophilus_citellus,6,no,198.5
Spermophilus_dauricus,,,190.8
Spermophilus_erythrogenys,1,,190.3
Spermophilus_fulvus,8,,254
Spermophilus_major,7.5,,264.6
Spermophilus_musicus,8.5,no,225.1
Spermophilus_pallidicauda,,,215.5
Spermophilus_pygmaeus,8.5,no,203.2
Spermophilus_relictus,,,237.5
Spermophilus_suslicus,7,,196.3
Spermophilus_xanthoprymnus,7,,233.5
Urocitellus_armatus,9,yes,219.5
Urocitellus_beldingi,8,no,236.7
Urocitellus_brunneus,8.5,,182
Urocitellus_columbianus,8,no,297.7
Urocitellus_elegans,,,205.8
Urocitellus_parryii,9,yes,279.3
Urocitellus_richardsoni,8,yes,212.2
Urocitellus_townsendi,,,173.3
Urocitellus_undulatus,6,yes,226.4
Urocitellus_washingtoni,7.5,no,167
Xerospermophilus_mohavensis,7,no,157.4
Xerospermophilus_perotensis,,,179
Xerospermophilus_spilosoma,9,yes,145.5
Xerospermophilus_tereticaudus,,,155.4
